id,event_date,fed_rate,action,rate_change,fed_chair,notes
1,1987-05-19, 0.06500 ,increase,0.00620,Paul Volcker,Continued raising rates to fight inflation
2,1987-07-07, 0.06500 ,no change,0.00000,Alan Greenspan,- no change -
3,1987-08-18, 0.06500 ,no change,0.00000,Alan Greenspan,- no change -
4,1987-09-22, 0.07250 ,increase,0.00750,Alan Greenspan,No notable event
5,1987-11-04, 0.06810 ,decrease,-0.00440,Alan Greenspan,Lowered after Black Monday stock market crash
6,1987-12-15, 0.06810 ,no change,0.00000,Alan Greenspan,- no change -
7,1988-02-10, 0.06250 ,decrease,-0.00560,Alan Greenspan,Continued lowering
8,1988-03-29, 0.06500 ,increase,0.00250,Alan Greenspan,Began raising to fight inflation
9,1988-05-17, 0.06500 ,no change,0.00000,Alan Greenspan,- no change -
10,1988-06-30, 0.06500 ,no change,0.00000,Alan Greenspan,- no change -
11,1988-08-16, 0.08130 ,increase,0.01630,Alan Greenspan,No notable event
12,1988-09-20, 0.08130 ,no change,0.00000,Alan Greenspan,- no change -
13,1988-11-01, 0.08130 ,no change,0.00000,Alan Greenspan,- no change -
14,1988-12-14, 0.08380 ,increase,0.00250,Alan Greenspan,No notable event
15,1989-02-08, 0.08380 ,no change,0.00000,Alan Greenspan,- no change -
16,1989-03-28, 0.08380 ,no change,0.00000,Alan Greenspan,- no change -
17,1989-05-16, 0.08380 ,no change,0.00000,Alan Greenspan,- no change -
18,1989-07-06, 0.08380 ,no change,0.00000,Alan Greenspan,- no change -
19,1989-08-22, 0.08380 ,no change,0.00000,Alan Greenspan,- no change -
20,1989-10-03, 0.08380 ,no change,0.00000,Alan Greenspan,- no change -
21,1989-11-14, 0.08380 ,no change,0.00000,Alan Greenspan,- no change -
22,1989-12-19, 0.08500 ,increase,0.00120,Alan Greenspan,S&L crisis; The Fed lowered rates to calm markets
23,1990-02-07, 0.08500 ,no change,0.00000,Alan Greenspan,- no change -
24,1990-03-27, 0.08500 ,no change,0.00000,Alan Greenspan,- no change -
25,1990-05-15, 0.08500 ,no change,0.00000,Alan Greenspan,- no change -
26,1990-07-03, 0.08250 ,decrease,-0.00250,Alan Greenspan,Recession began in July
27,1990-08-21, 0.08250 ,no change,0.00000,Alan Greenspan,- no change -
28,1990-10-02, 0.07750 ,decrease,-0.00500,Alan Greenspan,Continued lowering rates to boost economy despite inflation
29,1990-11-13, 0.07500 ,decrease,-0.00250,Alan Greenspan,No notable event
30,1990-12-18, 0.07250 ,decrease,-0.00250,Alan Greenspan,Economy contracted 3.6% in Q4
31,1991-01-09, 0.06750 ,decrease,-0.00500,Alan Greenspan,Economy contracted 1.9%
32,1991-02-01, 0.06250 ,decrease,-0.00500,Alan Greenspan,No notable event
33,1991-02-06, 0.06250 ,no change,0.00000,Alan Greenspan,- no change -
34,1991-03-08, 0.06000 ,decrease,-0.00250,Alan Greenspan,Recession ended
35,1991-04-30, 0.05750 ,decrease,-0.00250,Alan Greenspan,Conference call
36,1991-05-14, 0.05750 ,no change,0.00000,Alan Greenspan,- no change -
37,1991-07-03, 0.05750 ,no change,0.00000,Alan Greenspan,- no change -
38,1991-08-06, 0.05500 ,decrease,-0.00250,Alan Greenspan,No notable event
39,1991-08-20, 0.05500 ,no change,0.00000,Alan Greenspan,- no change -
40,1991-09-13, 0.05250 ,decrease,-0.00250,Alan Greenspan,Conference call
